URL	Notes	Camp Name	State	Target Group (Women, Ethnic Minorities, Low Income, N/A)	Theme (Game Design, Art, Programming, VR, App Dev, Web Dev, Minecraft, Robotics, More Than One, Other 	Language of Instruction	Cost (list costs, and ranges seperated by commas) or Unknown	Target age group	Length (Overnight, Full, Half, # of days) or Unknown	Scholarships (Yes, No, Unknown)
http://www.stormingrobots.com/prod/campreg.html	Storming Robots Camp	Robot Technology Projects	New Jersey	N/A	Robotics	LEGO	$475	9,10,11,12,13,	5	U
http://www.stormingrobots.com/prod/campreg.html	Storming Robots Camp	Robot-to-Robot Automation and Remote Control	New Jersey	N/A	Robotics	LEGO	$525	12,13,14,15,16	5	U
http://www.stormingrobots.com/prod/SummerCoursePages/Junior%20Competitive%20Robotics%20(First%20LEGO%20League).html	Storming Robots Camp	Junior Competitive Robotics (FIRST LEGO league)	New Jersey	N/A	Robotics	LEGO	$525	10,11,12,13	5	U
http://www.stormingrobots.com/prod/SummerCoursePages/Physics%20with%20Robotics.html	Storming Robots Camp	Physics with Robots	New Jersey	N/A	Robotics	LEGO	$575	13,14,15,16,17	5	U
http://www.stormingrobots.com/prod/SummerCoursePages/Robotics%20Fun%20with%20Mathematics.html	Storming Robots Camp	Robotics Fun with Mathematics	New Jersey	N/A	Robotics	LEGO	$475	5,6,7,8,9,10,11,12,13	5	U
http://www.stormingrobots.com/prod/SummerCoursePages/Super%20Robotics%20Sumo%20Training.html	Storming Robots Camp	Robotics Techonlogy Projects	New Jersey	N/A	Robotics	LEGO	$475	9,10,11,12,13	5	U
https://robinsoncenter.uw.edu/programs/summer/challenge/	Summer Challenge camp hosted by Robinson Center for Young Scholars @ University of Washington	Introduction to Robotics	Washington	N/A	Robotics	LEGO	$1,000	10,11	15	Y
https://www.einsteinsworkshop.com/component/eventbooking/summer-camps/robotics-programming-with-lego-mindstorms-summer		Robotics Programming with LEGO Mindstorms	Massachusetts	N/A	Robotics	LEGO	$350	9,10,11	Half, 5	U
https://www.parktudor.org/summer		Park Tudor - "LEGO Robotics"	Indiana	N/A	Robotics	LEGO	$155	10,11	Half, 5 	U
https://www.stemforkids.net/		STEM for Kids	North Carolina, Wisconsin, Washington, Texas	N/A	Robotics	LEGO	Unknown	11,12,13,14,15,16,17	5	U
www.chasewoodlearning.com/#!summer-camps/cerm		LEGO Robotics Academy	Illinois	N/A	Robotics	LEGO	$195	6,7,8,9,10,11,12,14	Half, 5	U
http://ticcamp.com/programs/technology/robotics/		Robotics	Maryland	N/A	Robotics	LEGO, C	$880	7,8,9,10,11,12,13,14,15	Full, 5	Y
http://www.stormingrobots.com/prod/SummerCoursePages/Super%20Robotics%20Sumo%20Training.html	Storming Robots Camp	Super Robotics Sumo Workshop	New Jersey	N/A	Robotics	LEGO, C, C++	$475	9,10,11,12,13	5	U
https://technologycouncil.com/we-build-tech/2016-we-build-tech-summer-camps/	Nashville Technology Council	Raspberry PI + Scratch Robotics Camps	Tennessee	N/A	Robotics	Python, Scratch	$300	11,12,13,14,15,16,17	5	U
http://www.utdallas.edu/k12/summer/		Engineering Projects with Arduino Boards	Texas	N/A	Robotics	Robotics, C	$250	11,12,13	5	U
http://d101.org/htdocs/StaffMedia/mryan/Documents/2016_Summer_Activity_Brochure.pdf	likely not a camp, didn't try too hard to find a good URL	Intro to Programming Using the Finch Robot	Illinois	N/A	Robotics	Scratch	$80	11,12,13	Half, 4	U
http://www.utdallas.edu/k12/summer/		Coding with Robots	Texas	N/A	Robotics	Scratch	$250	8,9,10	5	U
https://aceweb.uvu.edu/ShowSchedule.awp?&Mode=GROUP&Group=CEYCMP&Title=Youth+Computer&SubGroup=CEY	2 of these are offered, Levels 2 and 3 are also affered	Robotics w/Scratch Level 1	Utah	N/A	Robotics	Scratch	$79	10,11,12	Half, 5	U
http://www.howgirlscode.com/summercamp/		HowGirlsCode	Maryland	Women	Robotics	Scratch, LEGO	$225 per session	8,9,10,11	5	Y
http://challengecamps.com/afternoon-challenge/		Lego WeDo Robotics Academy	New York	N/A	Robotics	Unknown	4 week half - $1350. 4 week full - $2700, 3 week half- $1100, 3 week full- $2200	unknown	20, 50	N
http://gtcomputingoutreach.org/summerCamp.html#anim		Animatronics	Georgia	N/A	Robotics	Unknown	$450 with $50 high school student discount	8,9,10,11,12,13,14,15,16,17	Overnight, 7	N
http://gtcomputingoutreach.org/summerCamp.html#robot		Robotics	Georgia	N/A	Robotics	Unknown	$400 with $50 high school student discount	8,9,10,11,12,13,14,15,16,17	Overnight, 7	N
http://gtcomputingoutreach.org/summerCamp.html#web	Also in Lit Review	Robotics	Georgia	N/A	Robotics	Unknown	$400 or $350 (HS)	5,6,7,8,9,10,11,12	5	N
http://gtcomputingoutreach.org/summerCamp.html#web	Also in Lit Review	Animatronics	Georgia	N/A	Robotics	Unknown	$450 or $400 (HS)	5,6,7,8,9,10,11,12	5	N
http://i2camp.org/explore-camp-courses/		Building an Interactive, Friendly Monster	Massachusetts, New York, California, Connecticut, New Jersey	N/A	Robotics	Unknown	$850	10,11,12,13	Full, 5	U
http://www.ctd.northwestern.edu/program/apogee	Apogee camp hosted by Northwestern University	DIY Robotics 	Illinois	N/A	Robotics	Unknown	$3,715	9,10,11	15	U
http://www.fairmontsummerprograms.com/junior_high_programs.html		Robotics: FUNdamentals	California	N/A	Robotics	Unknown	$230	10,11,12,13	4	U
http://www.mazemakers.com/activities.html		Mazemaker camp	Massachusetts	N/A	Robotics	Unknown	$2,800	7,8,9,10,11,12,13	15	U
http://www.oxbridgeprograms.com/	The Oxford Prep Experience	Robotics	United Kingdom	N/A	Robotics	Unknown	$7,995	13,14	20	Y
http://www.sanjac.edu/node/1919586	San Jacinto College	Water-Bots (Beginner)	Texas	N/A	Robotics	Unknown	$180	12,13,14,15	Full, 3	U
http://www.sanjac.edu/node/1919591	San Jacinto College	Water-Bots (Intermediate)	Texas	N/A	Robotics	Unknown	$190	12,13,14,15,16	Full, 3	U
http://www.sanjac.edu/node/415166	San Jacinto College	Bashem Bots Using Legos	Texas	N/A	Robotics	Unknown	$160	7,8, 9,10,11,12	Half, 5	U
http://www.sanjac.edu/node/415176	San Jacinto College	Water-Bots (Advanced)	Texas	N/A	Robotics	Unknown	$245	12,13,14,15,16	Full, 4	U
http://www.sanjac.edu/node/4797001	San Jacinto College	Drone Drops	Texas	N/A	Robotics	Unknown	$155	12,13,14,15,16	2	U
http://www.tetonscience.org/field-education/summer-academy	Journeys School Summer Innovation Academy	Robotics II	Wyoming	N/A	Robotics	Unknown	$210	11,12,13	5	N
http://www.tetonscience.org/field-education/summer-academy	Journeys School Summer Innovation Academy	Microbots II	Wyoming	N/A	Robotics	Unknown	$210	11,12,13	Unknown	U
http://www.tetonscience.org/field-education/summer-academy	Journeys School Summer Innovation Academy	Microbots I	Wyoming	N/A	Robotics	Unknown	$210	8,9,10,11,12,13	Unknown	U
http://www.thesciencezone.org/2016-summer-camps.html		Lego!	Wyoming	N/A	Robotics	Unknown	$110	5,6,7,8,9,10,11,12,13,14,15	Half, 5	U
https://summerinstitutes.stanford.edu/courses/high-school/Computer-Science#department-803	Standford Summer Institute Camp	Robot Programming	California	N/A	Robotics	Unknown	$6,300	15,16	15	Y
https://summerinstitutes.stanford.edu/courses/high-school/Computer-Science#department-803	Standford Summer Institute Camp	Introduction to Programming with Robotics	California	N/A	Robotics	Unknown	$6,300	13,14	15	Y
https://www.tacc.utexas.edu/education/stem-programs/code-at-tacc		CODE @ TACC	Texas	N/A	Robotics	Unknown	Free 	15,16	12	Y
https://www.visiontechcamps.com/adventures-robotics-camp		Adventures in LEGO Robotics	Indiana, California	N/A	Robotics	Unknown	$829	7,8,9,10	5	N
