Name	Targ1	Targ2	Targ3	Theme1	Theme2	Theme3	Theme4	Theme5	Theme6	Lang1	Lang2	Lang3	Lang4	Lang5	Lang6	Lang7	Lang8	
Enjoyable Coding with Alice	1	@	@	0	1	@	@	@	@	3	@	@	@	@	@	@	@	
3D Modeling and Animation	1	@	@	0	1	@	@	@	@	3	@	@	@	@	@	@	@	
    Explore Coding with Art for middle school girls	0	@	@	0	1	@	@	@	@	3	19	28	@	@	@	@	@	
Animations and Games in Java Camps	1	@	@	0	1	2	@	@	@	19	@	@	@	@	@	@	@	
3D Design and Printing	1	@	@	0	6	@	@	@	@	11	62	@	@	@	@	@	@	
GREAT Summer Camp	1	@	@	0	1	6	@	@	@	3	21	26	@	@	@	@	@	
Resistors and Radios Circuits Introduction	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
All About Technology	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Girlgeneering	0	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
EPIC – Engineering Possibilities in College	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
Entry to Engineering	1	@	@	9	@	@	@	@	@	72	@	@	@	@	@	@	@	
3D Animation for Video Games	1	@	@	2	@	@	@	@	@	35	@	@	@	@	@	@	@	
Mobile Game Designer	1	@	@	2	@	@	@	@	@	46	@	@	@	@	@	@	@	
Game Maker 1	1	@	@	2	@	@	@	@	@	16	@	@	@	@	@	@	@	
Game Maker 2	1	@	@	2	@	@	@	@	@	16	@	@	@	@	@	@	@	
Game Maker- mission to mars	1	@	@	2	@	@	@	@	@	16	@	@	@	@	@	@	@	
Adventures in Game Design for Iphone and IPad	1	@	@	2	@	@	@	@	@	2	17	@	@	@	@	@	@	
Code on! Game Making for the Web	1	@	@	2	@	@	@	@	@	13	18	20	@	@	@	@	@	
Modding in Minecraft Game Design	1	@	@	2	@	@	@	@	@	19	24	@	@	@	@	@	@	
RPG Videogame Design - Summer 2016	1	@	@	2	@	@	@	@	@	18	20	@	@	@	@	@	@	
OWL Summer Tech Camp	1	@	@	2	@	@	@	@	@	55	@	@	@	@	@	@	@	
1100 (three weeks)	1	@	@	2	@	@	@	@	@	24	@	@	@	@	@	@	@	
Bolles Digital Game Design Camp Summer Camp	1	@	@	2	@	@	@	@	@	24	@	@	@	@	@	@	@	
Adventures in 3D Game Design with Minecraft	1	@	@	2	@	@	@	@	@	24	@	@	@	@	@	@	@	
Java programming for Minecraft modding	1	@	@	2	@	@	@	@	@	19	24	@	@	@	@	@	@	
Game Design	1	@	@	2	@	@	@	@	@	56	@	@	@	@	@	@	@	
Learning to code with Minecraft (Python)	1	@	@	2	@	@	@	@	@	27	@	@	@	@	@	@	@	
Making Games with Python and Pygame	1	@	@	2	@	@	@	@	@	27	@	@	@	@	@	@	@	
Beginning Game Programming In The Quorum Language	1	@	@	2	@	@	@	@	@	58	@	@	@	@	@	@	@	
RPG Game Design	1	@	@	2	@	@	@	@	@	60	@	@	@	@	@	@	@	
Bolles Digital Game Design Camp Summer Camp	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
Digital Game Design from Scratch	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
Game Maker Adventure Programming	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
Game Maker Retro Remix	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
DIY Computer Game	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
Ivy Coding Tech Summer Camp	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
MineScratch Video Game Design	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
Game Development /beginner	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
Game Development Intermediate/Advanced	1	@	@	2	@	@	@	@	@	28	@	@	@	@	@	@	@	
3D Game Design with DOTA 2 	1	@	@	2	@	@	@	@	@	30	@	@	@	@	@	@	@	
3D Game Design with Team Fortress 2	1	@	@	2	@	@	@	@	@	30	@	@	@	@	@	@	@	
3D Game Design – Trackmania	1	@	@	2	@	@	@	@	@	65	@	@	@	@	@	@	@	
Coding & Video Game Design with Tynker	1	@	@	2	@	@	@	@	@	66	@	@	@	@	@	@	@	
Game Coder	1	@	@	2	@	@	@	@	@	32	@	@	@	@	@	@	@	
Building Games with Unity Coding Camps	1	@	@	2	@	@	@	@	@	32	@	@	@	@	@	@	@	
Unity 3D Game Development	1	@	@	2	@	@	@	@	@	32	@	@	@	@	@	@	@	
Games	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Games	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Introduction to Game Programming	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
3D Stories	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Mazemaker camp	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Video Game Animation	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Make Your First Video Game	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Video Game Odyssey	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Make Your First 3-D Video Game	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Game Apprentices	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Computer Simulations and Interactive Media	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
STEM for Kids	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Mobile Video Game Design for iPhone & Android	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Role-Playing Video Game Design	1	@	@	2	@	@	@	@	@	72	@	@	@	@	@	@	@	
Game Design: Level Design with UnReal Engine	1	@	@	2	@	@	@	@	@	33	@	@	@	@	@	@	@	
